bank,district,state,blood_group,short_units
Area Hospital Blood Centre Kadiri,Sri Sathya Sai,Andhra Pradesh,AB+,1
Homi Bhabha Cancer Hospital And Research Centre,Visakhapatnam,Andhra Pradesh,AB+,2
Bsu Sviccar Tirupati,Tirupati,Andhra Pradesh,AB+,2
Area Hospital Blood Centre Guntakal,Ananthapuramu,Andhra Pradesh,AB+,2
Area Hospital Blood Centre Narsipatnam,Anakapalli,Andhra Pradesh,AB+,1
SREE WELFARE SOCIETY BLOOD CENTRE,Guntur,Andhra Pradesh,AB+,1
Tomo Riba Institute of Health and Medical Science Hospital Naharlagun,Papum Pare,Arunachal Pradesh,AB+,2
Lakhimpur Medical College And Hospital Blood Centre,Lakhimpur,Assam,AB+,1
Kanaklata Civil Hospital Blood Centre,Sonitpur,Assam,AB+,2
Blood Centre Dibrugarh Cancer Centre,Dibrugarh,Assam,AB+,1
Sadar Hospital Ara,Bhojpur,Bihar,AB+,1
"Bharat Blood Centre, Patna",Patna,Bihar,AB+,2
Bhoramdev Blood Centre,Kabirdham,Chhattisgarh,AB+,2
Blood Centre District Hospital Dhamtari,Dhamtari,Chhattisgarh,AB+,1
"Shivnath Blood Centre, Arang",Raipur,Chhattisgarh,AB+,2
Mpm Blood Centre,Bastar,Chhattisgarh,AB+,1
Ambedkar Memorial Hospital Raipur,Raipur,Chhattisgarh,AB+,2
Shree Narayana Hospital Blood Centre (Health Tech Chhattisgarh (P) Ltd.),Raipur,Chhattisgarh,AB+,2
Daman Raktdan Kendra,Daman,Dadra And Nagar Haveli And Daman And Diu,AB+,2
Freedom Blood Centre,North East,Delhi,AB+,2
"Blood Centre, Pushpawati Singhania Research Institute(For Liver, Renal And Digestive Disease)",South,Delhi,AB+,2
"Blood Centre, St. Stephens Hospital",North,Delhi,AB+,1
Mgs Super Speciality Hospital,West,Delhi,AB+,3
"Blood Centre, Park Hospital",West,Delhi,AB+,2
Blood Centre Aakash Healthcare Pvt Ltd,South West,Delhi,AB+,3
"Blood Centre, Hakeem Abdul Hameed Centenary Hospital",South,Delhi,AB+,1
"Victor Hosptial And Medical Services Ltd, Blood Centre",South Goa,Goa,AB+,2
"Bambhaniya Voluntary, Bhavnagar",Bhavnagar,Gujarat,AB+,1
General Hospitalbharuch Managed By Dr.Kiran.C.Patel Medical College And Research Institute Bharuch,Bharuch,Gujarat,AB+,2
"Shree Voluntary Blood Centre, Himmatagar",Sabar Kantha,Gujarat,AB+,3
"INDIAN RED CROSS BLOOD BANK,NADIAD",Kheda,Gujarat,AB+,1
Blood Bank Gmers Medical College Hospital Vadnagar,Mahesana,Gujarat,AB+,2
N. M. Patel Blood Bank And Dr.A.C.Mapara Blood Component Center Bilimora,Navsari,Gujarat,AB+,2
"Ved Voluntary Blood Centre, Amreli",Amreli,Gujarat,AB+,3
"Apollo Hospital International Ltd., Bhat",Gandhinagar,Gujarat,AB+,2
Unity Blood Centre Surat,Surat,Gujarat,AB+,2
Prathama Blood Centre Nikol Ahmedabad,Ahmedabad,Gujarat,AB+,2
"Bhailal Amin General Hospital Blood Centre,  Vadodara",Vadodara,Gujarat,AB+,1
"Sumandeep Vidhyapith, Chandkheda",Ahmedabad,Gujarat,AB+,3
"Jivanjyot Blood Centre,  Bhuj",Kachchh,Gujarat,AB+,3
Kusumben Dhirajlal Charitbale Hospital Blood Centre,Ahmedabad,Gujarat,AB+,3
"Visnagar Voluntary Blood Centre, Visnagar",Mahesana,Gujarat,AB+,3
Jims Blood Centre,Hisar,Haryana,AB+,1
Saheed Udam Singh Charitable Blood Bank (Run By Bhagwan Parshu Ram Charitable Trust-Rohtak),Yamunanagar,Haryana,AB+,1
"Fortis Memorial Research Institute, A Unit Of Fortis Health Management (North) Limited",Gurgaon,Haryana,AB+,3
Data Ram Blood Centre,Mahendragarh,Haryana,AB+,3
Sanjivani Blood Centre( Run By Nagar Vikas Sangthan- Panipat),Yamunanagar,Haryana,AB+,2
Sanjeevani Blood Centre (Ravindra Hospital),Panipat,Haryana,AB+,1
Blood Centre Fortis Hospital Manesar Gurugram,Gurgaon,Haryana,AB+,1
Medical College Agroha Hisar,Hisar,Haryana,AB+,3
Philadelphia Hospital Blood Centre,Ambala,Haryana,AB+,1
Sonipat Blood Centre,Sonipat,Haryana,AB+,1
General Hospital Blood Centre Rewari,Rewari,Haryana,AB+,3
"Blood Centre, Mm College Of Medical Sciences And Research, Ambala",Ambala,Haryana,AB+,3
Freedom Blood Bank Bhiwani (Run By Freedom Fighter Ch. Sudhan Singh Memorial Charitable Trust),Bhiwani,Haryana,AB+,3
"Park Hospital, (Unit Of Park Medicentre And Institution Pvt. Ltd.)",Gurgaon,Haryana,AB+,3
Save Life Blood Centre,Karnal,Haryana,AB+,3
Ashirwad Blood Center Gurgaon,Gurgaon,Haryana,AB+,2
Blood Centre Fims,Sonipat,Haryana,AB+,2
Pandit Ram Prakash Hospital And Kidney Centre,Karnal,Haryana,AB+,1
BCSU ZH MANDI,Mandi,Himachal Pradesh,AB+,3
"Chc, Nalagarh Solan.H.P.",Solan,Himachal Pradesh,AB+,3
"Zonal Hospital, Dharamshala",Kangra,Himachal Pradesh,AB+,3
Dept.Of Immunohaematology And  Blood Transfusion Dr.RPGMC Kangra At Tanda,Kangra,Himachal Pradesh,AB+,2
Dr Radhakrishnan Government Medical College And Hospital Hamirpur,Hamirpur,Himachal Pradesh,AB+,3
M/S MMABM AH GMC Anantnag,Anantnag,Jammu And Kashmir,AB+,1
Govt Hospital Bone and Joint Surgery Barzullah,Srinagar,Jammu And Kashmir,AB+,2
BLOOD CENTRE AH GMC DODA,Doda,Jammu And Kashmir,AB+,2
BLOOD CENTRE CENTRAL HOSPITAL DHANBAD,Dhanbad,Jharkhand,AB+,1
Narayan Blood Centre,Palamu,Jharkhand,AB+,1
General Hospital Bokaro,Bokaro,Jharkhand,AB+,2
Lake View Hospital Blood Centre Bariatu,Ranchi,Jharkhand,AB+,2
Rajarajeswari Medical College And Hospital,Bangalore Urban,Karnataka,AB+,3
Sri Jayadeva Institute Of Cardiovascular Sciences And Research (Mysore) Blood Centre,Mysore,Karnataka,AB+,3
Karnataka Medical College And Research Institute,Dharwad,Karnataka,AB+,1
Sankalp Blood Centre,Bangalore Urban,Karnataka,AB+,3
"Rotary Red Cross Blood Centre, Shimoga",Shimoga,Karnataka,AB+,1
"Rotary Seva Sanghs Dr. B. C. Ajari Memorial, The Rotary Blood Bank",Belagavi,Karnataka,AB+,2
B.V.V.Sanghas (Hsk Hospital Blood Centre),Bagalkot,Karnataka,AB+,3
District Hospital- Shivamoga,Shimoga,Karnataka,AB+,3
Lions Blood Centre,Bangalore Rural,Karnataka,AB+,2
Red Circle Blood Centre,Tumkur,Karnataka,AB+,3
Bims Blood Centre District Hospital Belagavi,Belagavi,Karnataka,AB+,3
Rotary Campco Blood Centre,Dakshina Kannada,Karnataka,AB+,1
KIMS HOSPITAL BLOOD CENTRE,Bangalore Urban,Karnataka,AB+,2
St.PhilomenaS Hospital Blood Centre,Bangalore Urban,Karnataka,AB+,2
Bapuji Hospital Blood Centre,Davanagere,Karnataka,AB+,3
Yelahanka Lions Blood Centre,Bangalore Urban,Karnataka,AB+,1
Jeeva Sanjeevini Voluntary Blood Centre,Shimoga,Karnataka,AB+,2
Sri. Shankara Cancer Hospital And Research Centre,Bangalore Urban,Karnataka,AB+,3
Bsk Jeevashraya Blood Centre,Bangalore Urban,Karnataka,AB+,3
Shree Siddeshwar Blood Bank,Vijayapura,Karnataka,AB+,1
Kmc,Dakshina Kannada,Karnataka,AB+,3
Prema Bindu Blood Centre,Dharwad,Karnataka,AB+,2
Kle Centenary Charitable Hospital And Mrc Blood Bank,Belagavi,Karnataka,AB+,2
Sree Siddaganga Hospital Blood Centre,Tumkur,Karnataka,AB+,3
Kanachur Hospital And Research Centre,Dakshina Kannada,Karnataka,AB+,2
Sri Madhusudan Sai Institute Of Medical Sciences And Research,Chikkaballapura,Karnataka,AB+,1
TRINITY VOLUNTATY BLOOD CENTRE,Chikmagalur,Karnataka,AB+,3
A.J.Hsopital And Research Centre,Dakshina Kannada,Karnataka,AB+,2
Kolar Lions Blood Center,Kolar,Karnataka,AB+,1
"K C General Hospital Blood Centre, Bangalore",Bangalore Urban,Karnataka,AB+,3
"Sagar Blood Bank, Sagar HospitalS, (Unit Of Sagr Health Care And Diagnostic Services Pvt. Ltd.)",Bangalore Urban,Karnataka,AB+,3
"Kidwai Memorial Institute Of Oncology Blood Centre, Bangalore",Bangalore Urban,Karnataka,AB+,3
City Hospital Research And Diagnostic Centre Bsu,Dakshina Kannada,Karnataka,AB+,3
Sara Memorial Medical Laboratory And Blood Centre,Kannur,Kerala,AB+,2
Palakkad Blood Centre,Palakkad,Kerala,AB+,3
"Welcare Hospital Blood Centre, Vyttila",Ernakulam,Kerala,AB+,1
Holy Family Hospital,Idukki,Kerala,AB+,1
District Hospital Kollam,Kollam,Kerala,AB+,3
Korambayil Blood Bank,Malappuram,Kerala,AB+,1
Blood Centre Ms  St James Hospital Chalakudy,Thrissur,Kerala,AB+,3
G G Blood Centre,Thiruvananthapuram,Kerala,AB+,3
Dr Moopens Medical College,Wayanad,Kerala,AB+,3
General Hospital Kasaragod,Kasaragod,Kerala,AB+,1
Gimcare Hospital Blood Centre,Kannur,Kerala,AB+,1
I.M.A.Blood Centre,Kollam,Kerala,AB+,1
"Blood Centre District Hospital, Kanhangad",Kasaragod,Kerala,AB+,2
Almas Hospital Blood Bank,Malappuram,Kerala,AB+,2
Ns Memorial Institute Of Health Science Blood Centre,Kollam,Kerala,AB+,1
Malabar Cancer Centre Society,Kannur,Kerala,AB+,1
Kannur Medical College And Hospital (Prestige Edu Trust),Kannur,Kerala,AB+,1
District Hospital Kannur Blood Centre,Kannur,Kerala,AB+,2
Thiruvalla Medical Mission Hospital,Pathanamthitta,Kerala,AB+,2
"District Hospital, Shahdol",Shahdol,Madhya Pradesh,AB+,3
Life Line Blood And Component Centre,Bhopal,Madhya Pradesh,AB+,3
"District Hospital, Dhar",Dhar,Madhya Pradesh,AB+,1
"Sewa Blood Centre & Component Centre,",Bhopal,Madhya Pradesh,AB+,2
"District Hospital, Hoshangabad",Narmadapuram,Madhya Pradesh,AB+,3
Shiva Charitable Blood Centre,Guna,Madhya Pradesh,AB+,3
"Civil Hospital Indira Gandhi Mahila Evam Balya Chikitsalaya, Bhopal",Bhopal,Madhya Pradesh,AB+,3
"Chirayu Medical College And Hospital, Bhopal",Bhopal,Madhya Pradesh,AB+,2
"District Hospital, Burhanpur",Burhanpur,Madhya Pradesh,AB+,2
"District Hospital, Tikamgarh",Tikamgarh,Madhya Pradesh,AB+,3
"District Hospital, Seoni",Seoni,Madhya Pradesh,AB+,1
"People Hospital Blood Centre, Bhopal",Bhopal,Madhya Pradesh,AB+,3
"District Hospital, Datia",Datia,Madhya Pradesh,AB+,2
"Sadguru Blood Centre Jankikund Chikitsalaya, Chitrakoot",Satna,Madhya Pradesh,AB+,3
"Civil Hospital Blood Centre, Jan Seva Rugnalaya, Itarsi",Narmadapuram,Madhya Pradesh,AB+,1
"District Hospital, Jhabua",Jhabua,Madhya Pradesh,AB+,3
"District Hospital, Balaghant",Balaghat,Madhya Pradesh,AB+,1
Care Blood Centre,Jabalpur,Madhya Pradesh,AB+,3
"District Hospital, Neemach",Neemuch,Madhya Pradesh,AB+,3
"District Hospital, Bhind",Bhind,Madhya Pradesh,AB+,2
"District Hospital, Panna",Panna,Madhya Pradesh,AB+,3
Parakh Charitable Blood Centre,Gwalior,Madhya Pradesh,AB+,2
"District Hospital, Rajgarh",Rajgarh,Madhya Pradesh,AB+,3
Advance Life Saver Blood Centre,Rewa,Madhya Pradesh,AB+,2
M.P. Thalassemia Kid Care Society - Bhopal Blood Bank,Bhopal,Madhya Pradesh,AB+,3
"District Hospital, Dindori",Dindori,Madhya Pradesh,AB+,2
"District Hospital, Tikamgarh",Tikamgarh,Madhya Pradesh,AB+,3
Kokilaben Dhirubhai Ambani Blood Centre,Mumbai,Maharashtra,AB+,1
Lokamanya Tssia  Blood Centre,Thane,Maharashtra,AB+,1
Raigad Hospital Blood Centre Of Saraswati Education Society,Raigarh,Maharashtra,AB+,2
Jeevan Adhar Blood Centre Nanded,Nanded,Maharashtra,AB+,2
"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood Centre",Akola,Maharashtra,AB+,3
M/S Beed Blood Centre,Bid,Maharashtra,AB+,3
"Shree Swami  Samartha Vaidyakiya  Shaikshanik And Sanshodhan Sanstha, Late  Shri Mukeshbai Patel Blo",Dhule,Maharashtra,AB+,2
M/S Navi Mumbai Blood Centre,Raigarh,Maharashtra,AB+,3
Vasantdada Patil Blood Centre And Haematology Research Centre,Sangli,Maharashtra,AB+,2
TATA MEMORIAL CENTRE-ACTREC,Mumbai,Maharashtra,AB+,1
"Jeevandai Blood Centre, Components And Apheresis Centre Beed",Bid,Maharashtra,AB+,1
Kem Hospital Blood Centre,Pune,Maharashtra,AB+,2
N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Maharashtra,AB+,3
Godavari FoundationS Dr.Ulhas Patil Medical College And Hospital Blood Centre,Jalgaon,Maharashtra,AB+,2
M/S. Jai Mata Di Bahuddeshiya SansthaS Melghat Blood Centre,Amravati,Maharashtra,AB+,3
"Shri Sai Seva Medical Foundation Sanchalit, Sanjeevani Blood Centre",Nashik,Maharashtra,AB+,3
"Hinjewadi Blood Centre, Hinjewadi, Tal. Mulshi, Dist. Pune",Pune,Maharashtra,AB+,3
"Blood Bank Civil Hospital, Solapur",Solapur,Maharashtra,AB+,2
Mgm Medical College And Hospital Blood Centre,Aurangabad,Maharashtra,AB+,2
Shwas Foundation Kavatemahankal (Trust) Sanchlit Purandar Blood Centre (Trust),Pune,Maharashtra,AB+,1
"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",Pune,Maharashtra,AB+,3
Morya Blood Centre,Pune,Maharashtra,AB+,3
Noor Hospital Blood Centre,Jalna,Maharashtra,AB+,3
"Acharya Anandrishiji Blood Centre, Pune",Pune,Maharashtra,AB+,2
Chakan Blood Centre,Pune,Maharashtra,AB+,1
"Navjeevan Blood Centre, Kankawali, Sindhudurga",Sindhudurg,Maharashtra,AB+,3
District General Hospital Blood Bank Satara,Satara,Maharashtra,AB+,3
Indian Red Cross Society Sanchalit Askaran Tarachand Jain Blood Centre,Jalgaon,Maharashtra,AB+,2
Ayush Blood Centre And Component Lab Ramdaspeth Nagpur,Nagpur,Maharashtra,AB+,3
"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Maharashtra,AB+,1
"Adarsh Sanskaar Mandal  Sanchalit, Dr. Hedgewar Rakta Pedhi, Blood Centre",Akola,Maharashtra,AB+,2
Sasoon Blood Centre Pune,Pune,Maharashtra,AB+,1
Pimpri Chinchwad  Municipal CorporationS Y.C.M. Hospital Blood Centre,Pune,Maharashtra,AB+,2
"Hindratna Prakashbapu Patil Blood Centre, Sangli",Sangli,Maharashtra,AB+,3
Navjivan Blood Centre Mged By Saraswati Vidyaprasarak Foundation,Mumbai,Maharashtra,AB+,3
Shree Navjeevan Blood Centre Dhule,Dhule,Maharashtra,AB+,1
"Varad Charitable And Medical Trust, Balaji Blood Centre, Satara",Satara,Maharashtra,AB+,3
"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Maharashtra,AB+,1
"Shaurya Blood Centre, Blood Component And Apheresis Centre, Ahmedpur, Dist. Latur",Latur,Maharashtra,AB+,1
"Mgm Blood Centre , Kamothe",Raigarh,Maharashtra,AB+,3
Dr. Hegdewar Blood Centre,Nagpur,Maharashtra,AB+,2
Nh Srcc ChildrenS Hospital Blood Centre,Mumbai,Maharashtra,AB+,2
Sevenhills Healthcare Private Limited Hospital Blood Centre,Mumbai,Maharashtra,AB+,2
Kai Wamanrao Oka Rakta Kendra,Thane,Maharashtra,AB+,2
"Government Medical College And Hospital ,Blood Centre, Miraj",Sangli,Maharashtra,AB+,2
Akola Diagnostic Centre Blood Centre And Component Lab,Akola,Maharashtra,AB+,3
Prince Aly Khan Hospital Blood Centre,Mumbai,Maharashtra,AB+,3
District Hospital Churachandpur Blood Bank,Churachandpur,Manipur,AB+,2
"Major Blood Centre Civil Hospital, Lunglei",Lunglei,Mizoram,AB+,1
Naga Hospital Authority Nhak,Kohima,Nagaland,AB+,3
"Odisha Blood Centre, District  H/Q Hospital, Nayagarh",Nayagarh,Odisha,AB+,3
Odisha Blood Centre Rgh Rourkela,Sundargarh,Odisha,AB+,2
S.C.B. M.C.H. Blood Centre,Cuttack,Odisha,AB+,3
Immunohematology And Blood Transfusion Center,Sundargarh,Odisha,AB+,2
"Odisha Blood Centre, District Headquarter Hospital, Bhadrak",Bhadrak,Odisha,AB+,3
Blood Center Vimsar Burla Sambalpur,Sambalpur,Odisha,AB+,3
Odisha Blood Centre Dhh Balangir,Balangir,Odisha,AB+,1
Mahatma Gandhi Medical College And Research Institute,Pillaiyarkuppam,Puducherry,AB+,2
Indhira Gandhi Government General Hospital Blood Centre,White Town,Puducherry,AB+,2
Aarupadai Veedu Medical College,Cuddalore Main Road,Puducherry,AB+,2
Shaheed Bhagat Singh Blood Centre,Shahid Bhagat Singh Nagar,Punjab,AB+,2
Punjab Institute Of Medical Sciences,Jalandhar,Punjab,AB+,2
Civil Hospital Bathinda,Bathinda,Punjab,AB+,2
Mohandai Oswal Hospital Ludhiana,Ludhiana,Punjab,AB+,1
Sgl Charitable Hospital,Jalandhar,Punjab,AB+,3
Max Super Speciality  Hospital Mohali,Sahibzada Ajit Singh Nagar,Punjab,AB+,3
Bhakrabeas Management Board,Rupnagar,Punjab,AB+,1
Amrit Hospital Blood Centre,Amritsar,Punjab,AB+,2
Ivy Hospital Blood Centre Amritsar,Amritsar,Punjab,AB+,3
K K Johari Blood Centre,Patiala,Punjab,AB+,3
Civil Hospital Khanna,Ludhiana,Punjab,AB+,2
Kyb Blood Centre,Amritsar,Punjab,AB+,1
Patel Hospital Pvt. Ltd. Blood Centre Jalandhar,Jalandhar,Punjab,AB+,3
Guru Nanak Dev Charitable Hospital Blood Centre,Bathinda,Punjab,AB+,2
Deep Nursing Home And Children Hospital Ludhiana,Ludhiana,Punjab,AB+,1
Kaushal Hospital Blood Centre,Sahibzada Ajit Singh Nagar,Punjab,AB+,1
Nohar Blood Centre,Hanumangarh,Rajasthan,AB+,3
Renwal Blood Centre,Jaipur,Rajasthan,AB+,3
Zanana Hospital,Jaipur,Rajasthan,AB+,1
Shree Shyam Blood Centre Jhalawar,Jhalawar,Rajasthan,AB+,1
Kotri Shyam Blood Centre,Bhilwara,Rajasthan,AB+,1
Swastik Blood Centre,Ganganagar,Rajasthan,AB+,2
Maitree Blood Centre,Ganganagar,Rajasthan,AB+,3
Reengus Blood Centre,Sikar,Rajasthan,AB+,3
Parth Blood Centre,Tonk,Rajasthan,AB+,2
Blood Centre Government District Hospital Nawalgarh,Jhunjhunun,Rajasthan,AB+,2
Swasthya Kalyan Blood Centre And Thalesemia Research Center,Jaipur,Rajasthan,AB+,2
Saadat Hospital Tonk,Tonk,Rajasthan,AB+,3
Monarch Blood Centre,Alwar,Rajasthan,AB+,1
Sanjeevani Blood Center,Bikaner,Rajasthan,AB+,1
Life Line Blood Centre,Nagaur,Rajasthan,AB+,3
Shekhawati Blood Centre,Jaipur,Rajasthan,AB+,3
Jnu Blood Centre Jaipur,Jaipur,Rajasthan,AB+,3
Balvir Singh Tomar Institute Of Medical Sciences Research And Hospital Blood Centre,Jaipur,Rajasthan,AB+,1
Blood Bank M/S Rukmani Birla Hospital,Jaipur,Rajasthan,AB+,2
Re Life Blood Centre,Jaipur,Rajasthan,AB+,2
S.S. Super Speciality Hospital,Alwar,Rajasthan,AB+,1
Jaipur Blood Centre,Jaipur,Rajasthan,AB+,1
Narayana Hrudayalaya Pvt. Ltd.,Jaipur,Rajasthan,AB+,1
Lion Charitable Trust,Churu,Rajasthan,AB+,2
Jindal Super Specialty Hospital,Bharatpur,Rajasthan,AB+,2
TULSI HOSPITAL BLOOD CENTRE,Bikaner,Rajasthan,AB+,3
VARDAAN  BLOOD CENTRE,Alwar,Rajasthan,AB+,1
Keshav Blood Centre,Tonk,Rajasthan,AB+,3
Singhal Hospital Blood Centre,Bharatpur,Rajasthan,AB+,2
Monalisa charitable  Blood Centre,Hanumangarh,Rajasthan,AB+,1
Merta City Blood Center,Nagaur,Rajasthan,AB+,2
Indra Charitable Blood Center,Ganganagar,Rajasthan,AB+,3
Bsc Zazana Hospital,Bharatpur,Rajasthan,AB+,3
Cbm Hospital Blood Centre,Nagaur,Rajasthan,AB+,1
Nirodham Jankalyan Sewa Sansthan Blood Bank Njss Blood Bank,Jhalawar,Rajasthan,AB+,3
Pratishtha Blood Centre,Jaipur,Rajasthan,AB+,3
BLOOD CENTRE GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,Chennai,Tamil Nadu,AB+,2
"Government Hospital, Virudhachalam",Cuddalore,Tamil Nadu,AB+,2
Jamuna Blood Centre,Chennai,Tamil Nadu,AB+,3
Vinayaka Missions Kirupananda Variyar Medical College And Hospital Blood Centre,Salem,Tamil Nadu,AB+,2
"Government Hospital, Attur",Salem,Tamil Nadu,AB+,1
GOVERNMENT DISTRICT HEAD QUARTERS HOSPITAL KOVILPATTI,Thoothukkudi,Tamil Nadu,AB+,2
Lakshmi blood centre Tirunelveli,Tirunelveli,Tamil Nadu,AB+,3
Sir Ivan Stedeford Hospital,Chennai,Tamil Nadu,AB+,3
Meenakshi Medical College Hospital And Research Institute,Kanchipuram,Tamil Nadu,AB+,3
Lions Blood Centre Hosur Sipcot Run By Lions Club Of Hosur Sipcot Blood Bank Charitable Trust,Krishnagiri,Tamil Nadu,AB+,2
Government Medical College Hospital Tiruvannamalai,Tiruvannamalai,Tamil Nadu,AB+,3
Marthandam Voluntary Blood Centre,Kanyakumari,Tamil Nadu,AB+,2
Maruthi Blood Bank With Component Centre,Dharmapuri,Tamil Nadu,AB+,2
"A.C.S. General Hospital Blood Centre, (Run By Dr.M.G.R. Educational Reaserch Institute)",Chennai,Tamil Nadu,AB+,3
The Madras Medical Mission (A Registered Society),Chennai,Tamil Nadu,AB+,2
"Government Hospital, Tambaram At Chrompet",Chengalpattu,Tamil Nadu,AB+,2
Goverment District Headquarters Hospital Manapari,Tiruchirappalli,Tamil Nadu,AB+,3
"Government Head Quarters Hospital, Kanchipuram",Kanchipuram,Tamil Nadu,AB+,3
"Government Head Quarters Hospital,Periyakulam",Theni,Tamil Nadu,AB+,3
Kumaran Medical Center Blood Bank,Coimbatore,Tamil Nadu,AB+,3
International Centre For Cardio Thoracic And Vascular Diseases,Chennai,Tamil Nadu,AB+,1
Apollo Specialty Hospital Blood Centre Madurai,Madurai,Tamil Nadu,AB+,2
Christian Fellowship Hospital Blood Centre,Dindigul,Tamil Nadu,AB+,3
Blood Centre Vadamalayan Hospitals Pvt Ltd,Dindigul,Tamil Nadu,AB+,2
Apollo Hospitals (Run By Apollo Hospitals Educational Trust),Thiruvallur,Tamil Nadu,AB+,1
Sri Kaalli Blood Centre,Thanjavur,Tamil Nadu,AB+,1
Meenakshi Hospital Blood Centre,Thanjavur,Tamil Nadu,AB+,3
Employees State Insurance Corporation Medical College Hospital Blood Centre,Hyderabad,Telangana,AB+,3
Indian Red Cross Society Blood Bank Gadwal Telangana,Jogulamba Gadwal,Telangana,AB+,1
Thalassemia Rakshita Voluntary Blood Centre,Hyderabad,Telangana,AB+,1
Pride Voluntary Blood Center,Rangareddy,Telangana,AB+,3
Aarohi Blood Centre,Hyderabad,Telangana,AB+,2
Sree Balaji Blood Centre,Sangareddy,Telangana,AB+,1
Apollo Hospitals,Hyderabad,Telangana,AB+,3
Govt Blood Centre Medak,Medak,Telangana,AB+,2
Jeevandhara Voluntary Blood Centre,Karimnagar,Telangana,AB+,1
Nsv Blood Centre Siddipet,Siddipet,Telangana,AB+,3
Spandana Blood Centre,Karimnagar,Telangana,AB+,3
Msn Blood Centre,Medchal Malkajgiri,Telangana,AB+,3
District  Suryapet Ggh Hospital Blood Bank,Suryapet,Telangana,AB+,1
M/S Sindhu Hospitals Blood Center (Sai Sindhu Foundation),Rangareddy,Telangana,AB+,3
Medicover Hospital Blood Centre,Rangareddy,Telangana,AB+,1
M/S.Kims Hospital Blood Centre,Rangareddy,Telangana,AB+,1
Akshaya Blood Centre,Medchal Malkajgiri,Telangana,AB+,3
M/S Star Hospitals Blood Centre,Rangareddy,Telangana,AB+,3
Kamineni Hospitals Blood Center,Hyderabad,Telangana,AB+,2
Srividya Blood Center,Rangareddy,Telangana,AB+,3
Durgabai Deshmukh Hospital And Research Centre Blood Centre,Hyderabad,Telangana,AB+,2
District Combined Hospital Sonbhadra,Sonbhadra,Uttar Pradesh,AB+,3
MAA LAXMI CHARITABLE BLOOD CENTRE,Ghaziabad,Uttar Pradesh,AB+,2
Life Line Charitable Blood Center Basti,Basti,Uttar Pradesh,AB+,2
Leelawati Charitable Blood Centre,Aligarh,Uttar Pradesh,AB+,1
DHARAMNANDA CHARITABLE BLOOD CENTRE (Run by Bright Care Foundation ),Bijnor,Uttar Pradesh,AB+,2
Blood Centre Uma Shankar Dixit District Hospital Unnao,Unnao,Uttar Pradesh,AB+,3
"Shri Siddhi Vinayak Blood Centre (A Unit Of Shri Siddhi Vinayak Medical College And Hospital, Sambha",Sambhal,Uttar Pradesh,AB+,1
Blood Bank Lakhimpur Charitable Blood Centre (Run By. Jeevan Dhara Kalyan Samiti),Lakhimpur Kheri,Uttar Pradesh,AB+,2
Krishna Super Speciality Hospital Blood Centre,Kanpur Nagar,Uttar Pradesh,AB+,1
Reaebareli Charitable Blood Centre,Raebareli,Uttar Pradesh,AB+,1
National Capital Region Institute Of Medical Sciences Blood Centre,Meerut,Uttar Pradesh,AB+,3
Blood Centre Heritage  Hospital,Varanasi,Uttar Pradesh,AB+,1
Blood Bank Unique Charitable Blood Center,Meerut,Uttar Pradesh,AB+,1
Ms. S R Charitable Blood Centre,Sitapur,Uttar Pradesh,AB+,2
Idst Mayo Hospital And Blood Centre,Ghaziabad,Uttar Pradesh,AB+,3
Apna Charitable Blood Center,Gorakhpur,Uttar Pradesh,AB+,3
Poornima Charitable Blood Centre,Mathura,Uttar Pradesh,AB+,1
Samadhan Blood Centre,Lucknow,Uttar Pradesh,AB+,3
Blood Centre Dr. B.N. Behl,Shahjahanpur,Uttar Pradesh,AB+,3
Samarpan Blood Bank,Agra,Uttar Pradesh,AB+,3
Blood Centre Astha Hospital,Baghpat,Uttar Pradesh,AB+,2
Varun Trauma And Burn Center Pvt Ltd Blood Centre,Aligarh,Uttar Pradesh,AB+,3
Jeevan Rekha Charitable Blood Centre,Pilibhit,Uttar Pradesh,AB+,2
Sk Charitable Blood Centre,Sambhal,Uttar Pradesh,AB+,3
Sahu Rameshwar Saran Kothiwal Hospital And Heart Care Centre (Blood Centre),Moradabad,Uttar Pradesh,AB+,2
Ganga Sheel Charitable Trust Blood Bank Bank,Bareilly,Uttar Pradesh,AB+,1
Blood Centre District Hospital Rampur,Rampur,Uttar Pradesh,AB+,2
Sri Sai Hospital And Blood Centre,Moradabad,Uttar Pradesh,AB+,1
Swami Vivekanand Charitable Blood Centre,Bhadohi,Uttar Pradesh,AB+,3
Kalindi Charitable Blood Center,Varanasi,Uttar Pradesh,AB+,3
Cantonment General Hospital Blood Centre,Prayagraj,Uttar Pradesh,AB+,3
Blood Centre District Hospital,Kushinagar,Uttar Pradesh,AB+,1
Alaknanda Charitable Blood And Component Center,Muzaffarnagar,Uttar Pradesh,AB+,3
Blood Centre Jeevan Deep Hospital,Bhadohi,Uttar Pradesh,AB+,2
